Microseconds	Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Acceleration X	Acceleration Y	Acceleration Z	G Force	Angular Velocity X	Angular Velocity Y	Angular Velocity Z	Roll	Pitch	Heading	Velocity North	Velocity East	Velocity Down	Latitude	Longitude
950288	0.42989936	-0.24258752	-9.89832	0.982751979	0.396225611	0.234882597	0.035030182	0.09900429	-0.11431264	1.0113865	0.9780797499	0.3967839027	0.2360216643	2.7614837305	2.8841314643	8.1586882843	12.034953	1.8597738	0.16113833	19.0381187946	-98.3158064862
947	0.3174642	-0.20238459	-9.933771	1.249295785	0.188480854	0.291301971	-0.08001158	0.14971091	-0.15040405	1.0143083	1.244623253	0.1890393923	0.2924441495	2.8256583666	2.8927660376	8.1750740599	12.014157	1.8685936	0.14137648	19.0381242217	-98.3158055474
50371	0.39403763	-0.38023025	-9.900957	1.192093103	-0.165874312	0.355574374	-0.0031125685	-0.01813887	-0.11807123	1.012087	1.1874205704	-0.1653138195	0.3567186581	2.8847276639	2.8837954189	8.193621211	12.019023	1.8765432	0.14401364	19.0381296111	-98.3158045872
100856	0.40387386	-0.30325884	-9.700045	1.320948416	-0.294554526	0.394836009	0.008556574	0.07021012	0.08240436	0.99132144	1.3162782363	-0.2939947732	0.3959890584	2.953515865	2.8672353976	8.2149957567	12.031567	1.8938992	0.15896292	19.0381352824	-98.3158035346
150314	0.40980545	-0.30879807	-9.8516655	0.194232632	-0.23003341	0.287875777	0.017442165	0.07086969	-0.06939096	1.0068034	0.1895641216	-0.2294724805	0.2890324511	2.9634855127	2.855272549	8.2288085242	12.020841	1.8903427	0.14905421	19.0381405418	-98.3158027031
200858	0.4078103	-0.39223653	-9.672017	0.543500768	-0.383278835	0.350694773	0.018394543	-0.009990307	0.11024314	0.9889374	0.5388373423	-0.3827188357	0.3518493024	2.9928316482	2.8345096846	8.2443157857	11.999528	1.8634046	0.14610459	19.0381459133	-98.3158020112
250272	0.32811508	-0.24041411	-9.694075	0.778360086	-0.296859393	0.239179242	-0.058837906	0.14803979	0.08795143	0.9900895	0.7736980262	-0.2962983873	0.2403314568	3.0312710421	2.8193982705	8.254374074	11.966507	1.8487489	0.1316121	19.0381509948	-98.3158013266
300817	0.34606072	-0.47858888	-9.629399	-0.184225873	-0.48150519	0.204135856	-0.03802144	-0.087973595	0.15259466	0.984817	-0.1888889005	-0.4809352863	0.2052848265	3.0217318481	2.7955317682	8.2628040453	11.954767	1.8286045	0.12978938	19.0381564354	-98.3158005635
350296	0.3827437	-0.483842	-9.638646	-0.627399928	-0.379338765	0.35372677	0.0023450602	-0.096516475	0.14365382	0.9859741	-0.6320624425	-0.3787666605	0.3548743932	2.9915442334	2.7760897106	8.2783495558	11.945743	1.8082858	0.121077955	19.0381616618	-98.3157998473
400792	0.32108015	-0.30051163	-9.622318	-0.44321587	-0.12739315	0.326250892	-0.05802492	0.081869245	0.16024032	0.9830227	-0.4478798269	-0.1267976618	0.3273961627	2.9691882653	2.7719837044	8.2938926379	11.932243	1.798007	0.10843487	19.0381670974	-98.3157990888
450260	0.3916878	-0.23331572	-9.490453	-0.424490072	0.274523346	0.170563048	0.012518356	0.1453492	0.29228798	0.96966153	-0.4291541044	0.2751234918	0.1717086411	2.9486181641	2.7850062949	8.3041057438	11.948082	1.8147628	0.14385043	19.0381725259	-98.3157981669
500826	0.3605272	-0.40011314	-9.925508	-0.91109358	0.067481297	0.095333352	-0.020106416	-0.027901117	-0.14242582	1.0145385	-0.9157642155	0.0680952832	0.096482721	2.9007616088	2.7902260772	8.3098097107	11.949687	1.8167578	0.15307344	19.0381780697	-98.3157972675
550273	0.32124695	-0.39417154	-10.103933	-0.350578166	0.158229339	0.220950188	-0.061496034	-0.027387362	-0.32067835	1.0324848	-0.3552502433	0.1588456778	0.2221006763	2.883909559	2.7974487746	8.3213597124	11.931394	1.8127147	0.12703332	19.0381832487	-98.3157964584
